"word","pos","definition_ko","ipa","forms"
"kill","noun","죽이다","[kʰɪɫ]","[{""form"": ""kills"", ""tags"": [""plural""]}, {""form"": ""k1ll"", ""tags"": [""alternative""]}]"
"buy","verb","사다, 구입하다","[baɪ]","[{""form"": ""buys"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""buying"", ""tags"": [""participle"", ""present""]}, {""form"": ""bought"", ""tags"": [""past""]}, {""form"": ""bought"", ""tags"": [""participle"", ""past""]}, {""form"": ""boughten"", ""tags"": [""archaic"", ""dialectal"", ""participle"", ""past"", ""rare""]}, {""form"": ""no-table-tags"", ""tags"": [""table-tags""]}, {""form"": ""glossary"", ""tags"": [""inflection-template""]}, {""form"": ""buy"", ""tags"": [""infinitive""]}, {""form"": ""buy"", ""tags"": [""first-person"", ""present"", ""singular""]}, {""form"": ""bought"", ""tags"": [""first-person"", ""past"", ""singular""]}, {""form"": ""buyest"", ""tags"": [""archaic"", ""present"", ""second-person"", ""singular""]}, {""form"": ""bought"", ""tags"": [""past"", ""second-person"", ""singular""]}, {""form"": ""boughtest"", ""tags"": [""archaic"", ""past"", ""second-person"", ""singular""]}, {""form"": ""buys"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""buyeth"", ""tags"": [""archaic"", ""present"", ""singular"", ""third-person""]}, {""form"": ""bought"", ""tags"": [""past"", ""singular"", ""third-person""]}, {""form"": ""buy"", ""tags"": [""plural"", ""present""]}, {""form"": ""bought"", ""tags"": [""past"", ""plural""]}, {""form"": ""buy"", ""tags"": [""present"", ""subjunctive""]}, {""form"": ""bought"", ""tags"": [""past"", ""subjunctive""]}, {""form"": ""buy"", ""tags"": [""imperative"", ""present""]}, {""form"": ""buying"", ""tags"": [""participle"", ""present""]}, {""form"": ""bought"", ""tags"": [""participle"", ""past""]}, {""form"": ""boughten"", ""tags"": [""archaic"", ""participle"", ""past""]}, {""form"": ""buie"", ""tags"": [""alternative""]}]"
"buy","noun","사다, 구입하다","[baɪ]","[{""form"": ""buys"", ""tags"": [""plural""]}]"
"drug","noun","마약","/dɹʌɡ/","[{""form"": ""drugs"", ""tags"": [""plural""]}]"
"drug","verb","약을 투여하다, 마약을 먹이다","/dɹʌɡ/","[{""form"": ""drugs"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""drugging"", ""tags"": [""participle"", ""present""]}, {""form"": ""drugged"", ""tags"": [""participle"", ""past""]}]"
"after","adv","다음에, 앞으로","/ˈɑːftə/","[]"
"after","prep","다음에, 뒤에, 추구하여, 연유하여, 따라서, 하지만","/ˈɑːftə/","[]"
"after","conj","다음에, 앞으로","/ˈɑːftə/","[]"
"after","adj","이후의, 나중의","/ˈɑːftə/","[]"
"after","noun","다음에, 앞으로","/ˈɑːftə/","[{""form"": ""afters"", ""tags"": [""plural""]}]"
"here","adv","여기, 이리, 이쪽으로","/hiːɹ/","[]"
"here","adj","여기의, 이곳의","/hiːɹ/","[]"
"here","noun","여기, 이리, 이쪽으로","/hiːɹ/","[{""form"": ""heres"", ""tags"": [""plural""]}]"
"here","intj","여기, 이리, 이쪽으로","/hiːɹ/","[]"
"next","adj","다음의","/nɛkst/","[{""form"": ""neest"", ""tags"": [""alternative"", ""dialectal""]}, {""form"": ""neist"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""nex"", ""tags"": [""alternative"", ""archaic""]}, {""form"": ""nex'"", ""tags"": [""alternative"", ""dialectal""]}]"
"next","det","다음의","/nɛkst/","[{""form"": ""neest"", ""tags"": [""alternative"", ""dialectal""]}, {""form"": ""neist"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""nex"", ""tags"": [""alternative"", ""archaic""]}, {""form"": ""nex'"", ""tags"": [""alternative"", ""dialectal""]}]"
"next","adv","다음에, 그 다음으로","/nɛkst/","[{""form"": ""neest"", ""tags"": [""alternative"", ""dialectal""]}, {""form"": ""neist"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""nex"", ""tags"": [""alternative"", ""archaic""]}, {""form"": ""nex'"", ""tags"": [""alternative"", ""dialectal""]}]"
"next","noun","다음의","/nɛkst/","[{""form"": ""neest"", ""tags"": [""alternative"", ""dialectal""]}, {""form"": ""neist"", ""tags"": [""alternative"", ""Scotland""]}, {""form"": ""nex"", ""tags"": [""alternative"", ""archaic""]}, {""form"": ""nex'"", ""tags"": [""alternative"", ""dialectal""]}]"
"plant","noun","식물, 풀, 화초, 함정, 프락치, 플랜트, 시설, 설비","/plænt/","[{""form"": ""plants"", ""tags"": [""plural""]}]"
"plant","verb","심다, 뿌리다, 이식하다, 놓다, 설치하다, 세우다","/plænt/","[{""form"": ""plants"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""planting"", ""tags"": [""participle"", ""present""]}, {""form"": ""planted"", ""tags"": [""participle"", ""past""]}, {""form"": ""planted"", ""tags"": [""past""]}]"
"give","verb","주다, 드리다","/ɡɪv/","[{""form"": ""gives"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""giving"", ""tags"": [""participle"", ""present""]}, {""form"": ""gave"", ""tags"": [""past""]}, {""form"": ""given"", ""tags"": [""participle"", ""past""]}, {""form"": ""no-table-tags"", ""tags"": [""table-tags""]}, {""form"": ""glossary"", ""tags"": [""inflection-template""]}, {""form"": ""give"", ""tags"": [""infinitive""]}, {""form"": ""give"", ""tags"": [""first-person"", ""present"", ""singular""]}, {""form"": ""gave"", ""tags"": [""first-person"", ""past"", ""singular""]}, {""form"": ""give"", ""tags"": [""present"", ""second-person"", ""singular""]}, {""form"": ""givest"", ""tags"": [""archaic"", ""present"", ""second-person"", ""singular""]}, {""form"": ""gave"", ""tags"": [""past"", ""second-person"", ""singular""]}, {""form"": ""gavest"", ""tags"": [""archaic"", ""past"", ""second-person"", ""singular""]}, {""form"": ""gives"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""giveth"", ""tags"": [""archaic"", ""present"", ""singular"", ""third-person""]}, {""form"": ""gave"", ""tags"": [""past"", ""singular"", ""third-person""]}, {""form"": ""give"", ""tags"": [""plural"", ""present""]}, {""form"": ""gave"", ""tags"": [""past"", ""plural""]}, {""form"": ""give"", ""tags"": [""present"", ""subjunctive""]}, {""form"": ""gave"", ""tags"": [""past"", ""subjunctive""]}, {""form"": ""give"", ""tags"": [""imperative"", ""present""]}, {""form"": ""giving"", ""tags"": [""participle"", ""present""]}, {""form"": ""given"", ""tags"": [""participle"", ""past""]}]"
"give","noun","주다, 드리다","/ɡɪv/","[]"
"dare","verb","감히 하다, 도전하다","/dɛə/","[{""form"": ""dares"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""dare"", ""tags"": [""modal"", ""present"", ""singular"", ""third-person""]}, {""form"": ""dast"", ""tags"": [""obsolete"", ""present"", ""singular"", ""third-person""]}, {""form"": ""daring"", ""tags"": [""participle"", ""present""]}, {""form"": ""dared"", ""tags"": [""participle"", ""past""]}, {""form"": ""dared"", ""tags"": [""past""]}, {""form"": ""durst"", ""tags"": [""obsolete"", ""participle"", ""past""]}, {""form"": ""durst"", ""tags"": [""obsolete"", ""past""]}]"
"dare","noun","도전","/dɛə/","[{""form"": ""dares"", ""tags"": [""plural""]}]"
"banana","noun","바나나, 바나나색","/bəˈnɑː.nə/","[{""form"": ""bananas"", ""tags"": [""plural""]}]"
"banana","adj","바나나의, 바나나색의","/bəˈnɑː.nə/","[]"
"tiger","noun","호랑이, 범","/ˈtaɪɡə/","[{""form"": ""tigers"", ""tags"": [""plural""]}, {""form"": ""tigre"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""tyger"", ""tags"": [""alternative"", ""dated""]}, {""form"": ""tygre"", ""tags"": [""alternative"", ""dated""]}, {""form"": ""Tigers"", ""tags"": [""plural""]}]"
"protester","noun","시위자, 시위대, 데모꾼","/pɹəˈtɛstəɹ/","[{""form"": ""protesters"", ""tags"": [""plural""]}, {""form"": ""protestor"", ""tags"": [""alternative""]}]"
"eleven","num","열하나, 십일, 일레븐","/ɪˈlɛvən/","[{""form"": ""Arabic numerals"", ""tags"": [""alternative""]}, {""form"": ""Roman numerals"", ""tags"": [""alternative""]}]"
"eleven","noun","열하나, 십일, 일레븐","/ɪˈlɛvən/","[{""form"": ""elevens"", ""tags"": [""plural""]}, {""form"": ""Arabic numerals"", ""tags"": [""alternative""]}, {""form"": ""Roman numerals"", ""tags"": [""alternative""]}]"
"twelve","num","열둘, 십이","/twɛlv/","[{""form"": ""12"", ""tags"": [""alternative""]}, {""form"": ""XII"", ""tags"": [""alternative""]}, {""form"": ""twelue"", ""tags"": [""alternative"", ""obsolete""]}]"
"twelve","noun","열둘, 십이","/twɛlv/","[{""form"": ""twelves"", ""tags"": [""plural""]}, {""form"": ""12"", ""tags"": [""alternative""]}, {""form"": ""XII"", ""tags"": [""alternative""]}, {""form"": ""twelue"", ""tags"": [""alternative"", ""obsolete""]}]"
"bomb","noun","폭탄, 봄","/bɑm/","[{""form"": ""bombs"", ""tags"": [""plural""]}, {""form"": ""the Bomb"", ""tags"": [""canonical""]}, {""form"": ""Bombs"", ""tags"": [""plural""]}]"
"bomb","verb","폭격(爆擊)하다, 포격(砲擊)하다","/bɑm/","[{""form"": ""bombs"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""bombing"", ""tags"": [""participle"", ""present""]}, {""form"": ""bombed"", ""tags"": [""participle"", ""past""]}, {""form"": ""bombed"", ""tags"": [""past""]}]"
"bid","adv","입찰하여, 가격을 제시하여","","[]"
"church","noun","교회, 성당, 예배당, 례배당, 예배, 례배","/ˈt͡ʃɜːt͡ʃ/","[{""form"": ""churches"", ""tags"": [""plural""]}, {""form"": ""churche"", ""tags"": [""alternative""]}, {""form"": ""chirche"", ""tags"": [""alternative""]}, {""form"": ""obsolete"", ""tags"": [""alternative""]}]"
"church","verb","교회에 다니다, 예배드리다","/ˈt͡ʃɜːt͡ʃ/","[{""form"": ""churches"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""churching"", ""tags"": [""participle"", ""present""]}, {""form"": ""churched"", ""tags"": [""participle"", ""past""]}, {""form"": ""churched"", ""tags"": [""past""]}, {""form"": ""churche"", ""tags"": [""alternative""]}, {""form"": ""chirche"", ""tags"": [""alternative""]}, {""form"": ""obsolete"", ""tags"": [""alternative""]}]"
"small","adj","작다, 작은, 어린","/smɔl/","[{""form"": ""smaller"", ""tags"": [""comparative""]}, {""form"": ""smallest"", ""tags"": [""superlative""]}]"
"small","adv","작게, 조금","/smɔl/","[{""form"": ""smaller"", ""tags"": [""comparative""]}, {""form"": ""smallest"", ""tags"": [""superlative""]}]"
"small","noun","작다, 작은, 어린","/smɔl/","[{""form"": ""smalls"", ""tags"": [""plural""]}]"
"small","verb","작다, 작은, 어린","/smɔl/","[{""form"": ""smalls"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""smalling"", ""tags"": [""participle"", ""present""]}, {""form"": ""smalled"", ""tags"": [""participle"", ""past""]}, {""form"": ""smalled"", ""tags"": [""past""]}]"
"mental","adj","정신의","/ˈmɛn.təl/","[{""form"": ""more mental"", ""tags"": [""comparative""]}, {""form"": ""most mental"", ""tags"": [""superlative""]}]"
"mental","noun","정신의","/ˈmɛn.təl/","[{""form"": ""mentals"", ""tags"": [""plural""]}]"
"tomato","noun","토마토, 도마도, 일년감","/təˈmeɪ.toʊ/","[{""form"": ""tomatoes"", ""tags"": [""plural""]}, {""form"": ""tomater"", ""tags"": [""alternative"", ""pronunciation-spelling""]}, {""form"": ""'mater"", ""tags"": [""alternative"", ""Appalachia"", ""Southern-US"", ""informal""]}]"
"tomato","adj","토마토의, 토마토색의","/təˈmeɪ.toʊ/","[{""form"": ""more tomato"", ""tags"": [""comparative""]}, {""form"": ""most tomato"", ""tags"": [""superlative""]}, {""form"": ""tomater"", ""tags"": [""alternative"", ""pronunciation-spelling""]}, {""form"": ""'mater"", ""tags"": [""alternative"", ""Appalachia"", ""Southern-US"", ""informal""]}]"
"japanese","adj","일본(日本)의, 일, 왜","/ˌdʒæp.əˈniːz/","[{""form"": ""more Japanese"", ""tags"": [""comparative""]}, {""form"": ""most Japanese"", ""tags"": [""superlative""]}]"
"japanese","noun","일본인, 일본 사람","/ˌdʒæp.əˈniːz/","[{""form"": ""Japanese"", ""tags"": [""plural""]}, {""form"": ""Japaneses"", ""tags"": [""plural""]}]"
"bench","noun","벤치","/bɛnt͡ʃ/","[{""form"": ""benches"", ""tags"": [""plural""]}, {""form"": ""benk"", ""tags"": [""alternative"", ""dialectal""]}, {""form"": ""bink"", ""tags"": [""alternative"", ""dialectal""]}]"
"bench","verb","벤치에 앉히다, 출전 명단에서 빼다","/bɛnt͡ʃ/","[{""form"": ""benches"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""benching"", ""tags"": [""participle"", ""present""]}, {""form"": ""benched"", ""tags"": [""participle"", ""past""]}, {""form"": ""benk"", ""tags"": [""alternative"", ""dialectal""]}, {""form"": ""bink"", ""tags"": [""alternative"", ""dialectal""]}]"
"black","adj","검다, 검은, 까맣다, 까만","/blæk/","[{""form"": ""blacker"", ""tags"": [""comparative""]}, {""form"": ""more black"", ""tags"": [""comparative""]}, {""form"": ""blackest"", ""tags"": [""superlative""]}, {""form"": ""most black"", ""tags"": [""superlative""]}, {""form"": ""blacke"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""Black"", ""tags"": [""alternative""]}, {""form"": ""blk"", ""tags"": [""alternative""]}, {""form"": ""blak"", ""tags"": [""alternative""]}]"
"black","noun","검정, 검은색, 흑색, 흑인","/blæk/","[{""form"": ""blacks"", ""tags"": [""plural""]}, {""form"": ""blacke"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""Black"", ""tags"": [""alternative""]}, {""form"": ""blk"", ""tags"": [""alternative""]}, {""form"": ""blak"", ""tags"": [""alternative""]}, {""form"": ""Blacks"", ""tags"": [""plural""]}]"
"black","verb","검다, 검은, 까맣다, 까만","/blæk/","[{""form"": ""blacks"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""blacking"", ""tags"": [""participle"", ""present""]}, {""form"": ""blacked"", ""tags"": [""participle"", ""past""]}, {""form"": ""blacked"", ""tags"": [""past""]}, {""form"": ""blacke"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""Black"", ""tags"": [""alternative""]}, {""form"": ""blk"", ""tags"": [""alternative""]}, {""form"": ""blak"", ""tags"": [""alternative""]}]"
"blue","adj","푸르다, 파랗다, 우울하다, 슬프다, 아쉽다, 외설스럽다, 도색적, 원색적","/bluː/","[{""form"": ""bluer"", ""tags"": [""comparative""]}, {""form"": ""more blue"", ""tags"": [""comparative""]}, {""form"": ""bluest"", ""tags"": [""superlative""]}, {""form"": ""most blue"", ""tags"": [""superlative""]}, {""form"": ""blew"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""blewe"", ""tags"": [""alternative"", ""obsolete""]}]"
"blue","noun","파랑, 파란색","/bluː/","[{""form"": ""blues"", ""tags"": [""plural""]}, {""form"": ""blew"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""blewe"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""Blues"", ""tags"": [""plural""]}]"
"blue","verb","푸르다, 파랗다, 우울하다, 슬프다, 아쉽다, 외설스럽다, 도색적, 원색적","/bluː/","[{""form"": ""blues"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""blueing"", ""tags"": [""participle"", ""present""]}, {""form"": ""bluing"", ""tags"": [""participle"", ""present""]}, {""form"": ""blued"", ""tags"": [""participle"", ""past""]}, {""form"": ""blued"", ""tags"": [""past""]}, {""form"": ""blew"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""blewe"", ""tags"": [""alternative"", ""obsolete""]}]"
"gold","noun","금색","/ɡəʊld/","[{""form"": ""gold"", ""tags"": [""plural""]}, {""form"": ""golds"", ""tags"": [""plural""]}, {""form"": ""gould"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""☉"", ""tags"": [""alternative""]}, {""form"": ""Golds"", ""tags"": [""plural""]}]"
"gold","adj","금색의, 금빛의","/ɡəʊld/","[{""form"": ""golder"", ""tags"": [""comparative""]}, {""form"": ""goldest"", ""tags"": [""superlative""]}, {""form"": ""gould"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""☉"", ""tags"": [""alternative""]}]"
"gold","verb","금빛으로 물들이다, 금빛이 되다","/ɡəʊld/","[{""form"": ""golds"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""golding"", ""tags"": [""participle"", ""present""]}, {""form"": ""golded"", ""tags"": [""participle"", ""past""]}, {""form"": ""golded"", ""tags"": [""past""]}, {""form"": ""gould"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""☉"", ""tags"": [""alternative""]}]"
"gold","adv","금빛으로","/ɡəʊld/","[{""form"": ""gould"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""☉"", ""tags"": [""alternative""]}]"
"green","noun","초록, 녹색, 록색, 초록색","/ɡɹiːn/","[{""form"": ""greens"", ""tags"": [""plural""]}, {""form"": ""Greens"", ""tags"": [""plural""]}, {""form"": ""Greene"", ""tags"": [""alternative""]}, {""form"": ""Grene"", ""tags"": [""alternative""]}]"
"green","adj","녹색의, 초록의, 비리비리하다, 풋내기, 생의, 설익다","/ɡɹiːn/","[{""form"": ""greener"", ""tags"": [""comparative""]}, {""form"": ""greenest"", ""tags"": [""superlative""]}, {""form"": ""Greene"", ""tags"": [""alternative""]}, {""form"": ""Grene"", ""tags"": [""alternative""]}]"
"green","verb","초록으로 물들이다, 녹색으로 만들다","/ɡɹiːn/","[{""form"": ""greens"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""greening"", ""tags"": [""participle"", ""present""]}, {""form"": ""greened"", ""tags"": [""participle"", ""past""]}, {""form"": ""greened"", ""tags"": [""past""]}]"
"green","intj","초록, 녹색, 록색, 초록색","/ɡɹiːn/","[]"
"grey","adj","회색의","/ɡɹeɪ/","[{""form"": ""greyer"", ""tags"": [""comparative""]}, {""form"": ""more grey"", ""tags"": [""comparative""]}, {""form"": ""greyest"", ""tags"": [""superlative""]}, {""form"": ""most grey"", ""tags"": [""superlative""]}]"
"grey","verb","회색이 되다","/ɡɹeɪ/","[{""form"": ""greys"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""greying"", ""tags"": [""participle"", ""present""]}, {""form"": ""greyed"", ""tags"": [""participle"", ""past""]}, {""form"": ""greyed"", ""tags"": [""past""]}]"
"grey","noun","회색","/ɡɹeɪ/","[{""form"": ""greys"", ""tags"": [""plural""]}]"
"pink","noun","분홍색, 핑크","/ˈpɪŋk/","[{""form"": ""pinks"", ""tags"": [""plural""]}]"
"pink","adj","분홍의, 핑크의","/ˈpɪŋk/","[{""form"": ""pinker"", ""tags"": [""comparative""]}, {""form"": ""pinkest"", ""tags"": [""superlative""]}]"
"pink","verb","핑킹 가위로 자르다, 지그재그로 자르다","/ˈpɪŋk/","[{""form"": ""pinks"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""pinking"", ""tags"": [""participle"", ""present""]}, {""form"": ""pinked"", ""tags"": [""participle"", ""past""]}]"
"purple","noun","자주색, 보라색","/ˈpɜː.pl̩/","[{""form"": ""purples"", ""tags"": [""plural""]}]"
"purple","adj","보라색의","/ˈpɜː.pl̩/","[{""form"": ""purpler"", ""tags"": [""comparative""]}, {""form"": ""more purple"", ""tags"": [""comparative""]}, {""form"": ""purplest"", ""tags"": [""superlative""]}, {""form"": ""most purple"", ""tags"": [""superlative""]}]"
"purple","verb","자주색으로 물들이다, 보라색이 되다","/ˈpɜː.pl̩/","[{""form"": ""purples"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""purpling"", ""tags"": [""participle"", ""present""]}, {""form"": ""purpled"", ""tags"": [""participle"", ""past""]}, {""form"": ""purpled"", ""tags"": [""past""]}]"
"red","noun","빨강, 빨간색, 공산주의자, 빨갱이, 적포도주, 레드 와인","/ɹɛd/","[{""form"": ""reds"", ""tags"": [""plural""]}, {""form"": ""Reds"", ""tags"": [""plural""]}]"
"red","adj","빨갛다, 붉다, 좌익","/ɹɛd/","[{""form"": ""redder"", ""tags"": [""comparative""]}, {""form"": ""reddest"", ""tags"": [""superlative""]}]"
"red","intj","빨강, 빨간색, 공산주의자, 빨갱이, 적포도주, 레드 와인","/ɹɛd/","[]"
"silver","noun","은, 백은, 은화, 은색","/ˈsɪl.və/","[{""form"": ""silvers"", ""tags"": [""plural""]}]"
"silver","adj","은빛의","/ˈsɪl.və/","[{""form"": ""more silver"", ""tags"": [""comparative""]}, {""form"": ""most silver"", ""tags"": [""superlative""]}]"
"silver","verb","은도금하다, 은빛으로 만들다","/ˈsɪl.və/","[{""form"": ""silvers"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""silvering"", ""tags"": [""participle"", ""present""]}, {""form"": ""silvered"", ""tags"": [""participle"", ""past""]}, {""form"": ""silvered"", ""tags"": [""past""]}]"
"white","adj","희다, 흰, 하얗다, 하얀","/ˈwaɪt/","[{""form"": ""whiter"", ""tags"": [""comparative""]}, {""form"": ""more white"", ""tags"": [""comparative""]}, {""form"": ""whitest"", ""tags"": [""superlative""]}, {""form"": ""most white"", ""tags"": [""superlative""]}, {""form"": ""whight"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""whyte"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""whyght"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""White"", ""tags"": [""alternative""]}]"
"white","noun","하양, 흰색, 백색, 백인","/ˈwaɪt/","[{""form"": ""whites"", ""tags"": [""plural""]}, {""form"": ""whight"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""whyte"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""whyght"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""White"", ""tags"": [""alternative""]}, {""form"": ""Whites"", ""tags"": [""plural""]}]"
"white","verb","희다, 흰, 하얗다, 하얀","/ˈwaɪt/","[{""form"": ""whites"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""whiting"", ""tags"": [""participle"", ""present""]}, {""form"": ""whited"", ""tags"": [""participle"", ""past""]}, {""form"": ""whited"", ""tags"": [""past""]}, {""form"": ""whight"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""whyte"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""whyght"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""White"", ""tags"": [""alternative""]}]"
"yellow","noun","황색, 노랑","/ˈjɛl.əʊ/","[{""form"": ""yellows"", ""tags"": [""plural""]}, {""form"": ""yeallow"", ""tags"": [""alternative""]}, {""form"": ""yeller"", ""tags"": [""alternative""]}, {""form"": ""yaller"", ""tags"": [""alternative""]}]"
"yellow","adj","노란, 노랗다, 겁많은, 겁많다","/ˈjɛl.əʊ/","[{""form"": ""yellower"", ""tags"": [""comparative""]}, {""form"": ""yellowest"", ""tags"": [""superlative""]}, {""form"": ""yeallow"", ""tags"": [""alternative""]}, {""form"": ""yeller"", ""tags"": [""alternative""]}, {""form"": ""yaller"", ""tags"": [""alternative""]}]"
"yellow","verb","노랗게 되다, 누렇게 변하다","/ˈjɛl.əʊ/","[{""form"": ""yellows"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""yellowing"", ""tags"": [""participle"", ""present""]}, {""form"": ""yellowed"", ""tags"": [""participle"", ""past""]}, {""form"": ""yellowed"", ""tags"": [""past""]}, {""form"": ""yeallow"", ""tags"": [""alternative""]}, {""form"": ""yeller"", ""tags"": [""alternative""]}, {""form"": ""yaller"", ""tags"": [""alternative""]}]"
"yellow","intj","황색, 노랑","/ˈjɛl.əʊ/","[{""form"": ""yeallow"", ""tags"": [""alternative""]}, {""form"": ""yeller"", ""tags"": [""alternative""]}, {""form"": ""yaller"", ""tags"": [""alternative""]}]"
"fourth","adj","넷째의, 네 번째의","/fɔːθ/","[]"
"fourth","noun","넷째","/fɔːθ/","[{""form"": ""fourths"", ""tags"": [""plural""]}]"
"fourth","verb","4등분하다","/fɔːθ/","[{""form"": ""fourths"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""fourthing"", ""tags"": [""participle"", ""present""]}, {""form"": ""fourthed"", ""tags"": [""participle"", ""past""]}, {""form"": ""fourthed"", ""tags"": [""past""]}]"
"third","adj","셋째의, 세 번째의","/θɚd/","[]"
"third","noun","3분의 1, 삼분의 일","/θɚd/","[{""form"": ""thirds"", ""tags"": [""plural""]}]"
"third","verb","지지하다, 3등분하다","/θɚd/","[{""form"": ""thirds"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""thirding"", ""tags"": [""participle"", ""present""]}, {""form"": ""thirded"", ""tags"": [""participle"", ""past""]}, {""form"": ""thirded"", ""tags"": [""past""]}]"
"fifth","adj","다섯째의, 다섯 번째의","/fɪfθ/","[{""form"": ""fift"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""fiveth"", ""tags"": [""alternative"", ""obsolete""]}]"
"fifth","noun","다섯째","/fɪfθ/","[{""form"": ""fifths"", ""tags"": [""plural""]}, {""form"": ""fift"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""fiveth"", ""tags"": [""alternative"", ""obsolete""]}]"
"fifth","verb","5등분하다","/fɪfθ/","[{""form"": ""fifths"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""fifthing"", ""tags"": [""participle"", ""present""]}, {""form"": ""fifthed"", ""tags"": [""participle"", ""past""]}, {""form"": ""fifthed"", ""tags"": [""past""]}, {""form"": ""fift"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""fiveth"", ""tags"": [""alternative"", ""obsolete""]}]"
"chinese","adj","중국의, 중국인의, 중국어의","/ˌt͡ʃaɪˈniz/","[{""form"": ""more Chinese"", ""tags"": [""comparative""]}, {""form"": ""most Chinese"", ""tags"": [""superlative""]}]"
"chinese","noun","중국인, 중국 사람, 중국식, 중식, 중화요리, 중화료리","/ˌt͡ʃaɪˈniz/","[{""form"": ""Chinese"", ""tags"": [""plural""]}, {""form"": ""Chineses"", ""tags"": [""plural""]}]"
"sixth","adj","여섯째의, 여섯 번째의","/sɪksθ/","[{""form"": ""sixt"", ""tags"": [""alternative"", ""obsolete""]}]"
"sixth","noun","여섯째","/sɪksθ/","[{""form"": ""sixths"", ""tags"": [""plural""]}, {""form"": ""sixt"", ""tags"": [""alternative"", ""obsolete""]}]"
"seventh","adj","일곱째의, 일곱 번째의","/ˈsɛvnθ/","[]"
"seventh","noun","일곱째","/ˈsɛvnθ/","[{""form"": ""sevenths"", ""tags"": [""plural""]}]"
"eighth","adj","여덟째의, 여덟 번째의","/eɪtθ/","[{""form"": ""eight"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""eightth"", ""tags"": [""alternative"", ""nonstandard""]}]"
"eighth","noun","여덟째","/eɪtθ/","[{""form"": ""eighths"", ""tags"": [""plural""]}, {""form"": ""eight"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""eightth"", ""tags"": [""alternative"", ""nonstandard""]}]"
"eighth","verb","8등분하다","/eɪtθ/","[{""form"": ""eighths"", ""tags"": [""present"", ""singular"", ""third-person""]}, {""form"": ""eighthing"", ""tags"": [""participle"", ""present""]}, {""form"": ""eighthed"", ""tags"": [""participle"", ""past""]}, {""form"": ""eighthed"", ""tags"": [""past""]}, {""form"": ""eight"", ""tags"": [""alternative"", ""obsolete""]}, {""form"": ""eightth"", ""tags"": [""alternative"", ""nonstandard""]}]"
